Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Scots For Leave,Scots for Leave,≤100,3
Paul Bristow,Conservatives,≤100,92
Councillor Greg Stanton,Manchester Withington Liberal Democrats,≤100,1
Crisis,Crisis UK,≤100,2
Create Collective,Nicola Grainne P Matts,≤100,2
Simon Hart MP,Simon Hart MP,≤100,2
Ali Dawah / Official,These ads ran without a disclaimer,≤100,12
Believe In Bees,Believe In Bees,≤100,5
Polski Biznes w UK,Krzysztof Kawulak,≤100,1
The Radical Read Project,Russell Miller,≤100,1
European Movement in Wandsworth and Merton,James Matthew Stephen Ryder,≤100,3
Andrew George,Andrew George,≤100,2
Anas Sarwar,Anas Sarwar,≤100,1
Hatch,Hatch,≤100,4
James Palmer,James Palmer,≤100,1
Chesham and Amersham Conservatives,Chesham and Amersham Conservative Association,≤100,4
Saving The Survivors,Saving the Survivors,≤100,1
The Week Junior,The Week Junior,≤100,3
IFAW,International Fund for Animal Welfare (IFAW),≤100,1
Bedford Borough Council,Bedford Borough Council,≤100,1
"Wild Trails - Tours, Courses, Expeditions",Africa Wild Trails Ltd,≤100,3
The Democratic Party,These ads ran without a disclaimer,≤100,1
Simon Clarke MP,Simon Clarke,≤100,4
Abdur-Raheem McCarthy (عبدالرحيم مكارثي),One Ummah,≤100,16
The Post Truth Post,satirical news site - The Post Truth Post,≤100,5
Elmbridge Liberal Democrats,Elmbridge Liberal Democrat’s,≤100,2
Tom Hunt,Tom Hunt,≤100,1
Havant Liberal Democrats,Paul Gray,≤100,2
Greenock & Inverclyde SNP,Mark Saunders,≤100,7
Flaming Bee,Caner Tastan,≤100,40
Aaron Wynne - Aberconwy,Aaron Wynne,≤100,2
London Liberal Democrats,"Nick Harvey on behalf of the Liberal Democrats,, London, SW1P 3AE. Hosted by NationBuilder.",≤100,9
Tower Hamlets Council,Tower Hamlets Council,≤100,1
Mike Patchett For Winklebury,Michael J Patchett,≤100,1
Mark Weston,The Conservative Party,≤100,12
Wedding Pearls,Wedding Pearls,≤100,1
Banbury for Europe,Banbury for Europe,≤100,1
Matt Hancock,West Suffolk Conservative Association,≤100,1
Yorkshire & the Humber Green Party,Yorkshire & the Humber Green Party,≤100,3
"SDP, Eastbourne Old Town",Sally Elizabeth Kitchen,≤100,3
Peter Gibson For Darlington,Peter Gibson for Darlington,≤100,3
Socialist Equality Party (Britain),The Socialist Equality Party,≤100,1
Westhoughton Life,Martyn Cox,≤100,17
"Joan Ryan, MP for Enfield North",Joan Ryan MP,≤100,1
Kim Caddy,Wandsworth and Wimbledon Conservatives,≤100,1
Tony Devenish,Cities of London & Westminster Conservatives,≤100,1
Iain Stewart MP,The Conservative Party,≤100,16
Social Democratic and Labour Party (SDLP),Social Democratic and Labour Party (SDLP),≤100,7
UK24 TV,Adeel Saleem,≤100,1
Yes Elgin,Yes Elgin,≤100,1
Save The Chelsfield,Steven Andrew Wilson,≤100,5
WHAX,Daniel Paul Smith,≤100,2
Aberdeen Campaign for Nuclear Disarmament (CND),Aberdeen and District Campaign for Nuclear Disarmament,≤100,3
THTC - The Hemp Trading Company,THTC Clothing Ltd,≤100,4
Swindon For Europe Campaign Page,Swindon For Europe,≤100,2
Ladywood Online,Ladywood Liberal Democrats,≤100,2
Spaice,Vipul Patel,≤100,2
Plaid Cymru Montgomeryshire / Maldwyn,Plaid Cymru Maldwyn,≤100,6
Kim Caddy,The Conservative Party,≤100,9
Bath for Europe,BathforEurope,≤100,1
Preston For Europe - page,Michael John Galsworthy,≤100,1
Veganuary,Veganuary,≤100,2
David Rutley MP,The Conservative Party,≤100,1
Aphra Brandreth,The Conservative Party,≤100,15
Chris Webb,Chris Webb for Blackpool North & Cleveleys Campaign,≤100,2
Unison East Midlands,UNISON Campaign Fund,≤100,2
Ely for Europe,Virginie Ganivet on behalf of Ely for Europe,≤100,1
Tristan Gray,Tristan Gray,≤100,5
Samantha Harvey for Rural Ward Wakefield,Samantha  Harvey,≤100,1
Chloe Smith MP,The Conservative Party,≤100,15
Staffs4Europe,Scientists for EU,≤100,1
Denise Donaldson - South Northants Green Party Candidate,Denise A Donaldson,≤100,1
Keep Britain Afloat,Keep Britain Afloat,≤100,3
Alok Sharma,The Conservative Party,≤100,13
Peoples Vote West Lancashire,Terence Leonard Brotheridge,≤100,10
Paul Maynard MP,The Conservative Party,≤100,9
Brexit - Time to choose a direction,Iain Macdonald,≤100,1
Mark Lancaster MP,The Conservative Party,≤100,15
The Scottish Parliament,The Scottish Parliament,≤100,1
Our West Lancashire,Our West Lancashire,≤100,10
Muscular Dystrophy UK,Muscular Dystrophy UK,≤100,2
Andy Canning,Andy Canning,≤100,1
Bournemouth Labour,Bournemouth Labour Party,≤100,1
Go and Vote,Alexander Grahame Poole,≤100,1
Lincoln Green Party - UK,John Anthony Radford,≤100,1
Craig Whittaker MP,The Conservative Party,≤100,9
Canterbury Labour Party,"The Labour Party. Promoted by Julia Seath on behalf of Canterbury Labour Party, both of 12 Belmont Road, Whitstable, CT5 1QP",≤100,1
Thanet Liberal Democrats,Angela Mary Curwen,≤100,1
Gateshead Labour Party,Pamela Marie Burns,≤100,2
Our Merton,Liberal Democrats,≤100,1
Sutton Liberal Democrats,Sutton Liberal Democrats,≤100,1
James Airey,The Conservative Party,≤100,9
Equality Network,the Equality Network,≤100,2
Devon for Europe,Devon for Europe,≤100,1
The Brickish Times,The Brickish Times,≤100,1
Politics for the Many,Politics for the Many,≤100,1
Compassion in Politics,Matthew Hawkins,≤100,1
Lib Dem Newswire,Liberal Democrat Newswire,≤100,2
William Wragg MP,The Conservative Party,≤100,14
Liam Kerr MSP,The Scottish Parliament,≤100,1
Pests Production,David Alec Doust,≤100,2
The Bank Nightclub - Perth,ENT24 Ltd,≤100,4
Craig Whittaker MP,Independent Parliamentary Standards Authority,≤100,2
Neil Bibby,Neil Bibby,≤100,2
Chorley Conservatives,Chorley Conservative Association,≤100,2
Business for Scotland,Business for Scotland,≤100,5
Women’s Equality Party- Otley and District Branch,Sarah Somerscales,≤100,1
Harbour Villages Ward,Chichester Liberal Democrats,≤100,1
Dave Chrisp Comedy,David Chrisp,≤100,4
Trossachs & Teith SNP,Trossachs & Teith Branch SNP,≤100,3
John Flack MEP,John Flack MEP,≤100,1
David Melding AM,"the office of David Melding AM, funded by the National Assembly for Wales",≤100,1
Ipswich Region,Region Media Ltd,≤100,6
Yusuf Chambers,These ads ran without a disclaimer,≤100,19
Cllr Karen Lucioni,Karen Lucioni,≤100,2
Gosport Liberal Democrats,Gosport Liberal Democrats,≤100,1
Alberto Giurioli,Alberto Giurioli,≤100,2
