Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Маркер Украина,These ads ran without a disclaimer,≤100,17
Луганська Асоцiацiя органiзацiй осіб з інвалiднiстю,These ads ran without a disclaimer,≤100,1
ПравдаТУТ  Львів,These ads ran without a disclaimer,≤100,5
Анатолий Івахно,Ольга Слюсаренко,≤100,3
Times Українські новини,These ads ran without a disclaimer,≤100,1
Володимир Пилипенко,These ads ran without a disclaimer,≤100,2
НА ИГЛЕ - Жизнь медицинского работника,These ads ran without a disclaimer,≤100,3
Internews Ukraine,These ads ran without a disclaimer,≤100,4
УКРОП Тернопільщина,УКРОП Українське об'єднання патріотів,≤100,6
IODUM,These ads ran without a disclaimer,≤100,5
Вони,These ads ran without a disclaimer,≤100,8
Батьківщина. Київ,These ads ran without a disclaimer,≤100,2
Макаренко Валерий - общественный и политический деятель.,These ads ran without a disclaimer,≤100,3
Київська команда Демократичного Альянсу,ДемАльянс,≤100,2
Тарас Батенко,Taras Podvirnyy,≤100,3
Андрей Гальченко,These ads ran without a disclaimer,≤100,2
ВО "Свобода" Києво-Святошинського району,These ads ran without a disclaimer,≤100,6
Сергей Ларин,These ads ran without a disclaimer,≤100,3
Стоп-коррупция в портах Украины. Общественное движение,These ads ran without a disclaimer,≤100,1
ПРАВИЙ СЕКТОР Хмельниччина,These ads ran without a disclaimer,≤100,3
Івано-Франківська Крайова організація НРУ,Акiмов Геннадiй,≤100,16
Questo терапия,These ads ran without a disclaimer,≤100,2
Штаб блокади торгівлі з окупантами,These ads ran without a disclaimer,≤100,3
Московский Центр Карнеги,These ads ran without a disclaimer,≤100,3
Lenta.UA,These ads ran without a disclaimer,≤100,3
Ігор Гузь - офіційна сторінка,Ігор Гузь - офіційна сторінка,≤100,4
ЗЕ Команда - Шпола,These ads ran without a disclaimer,≤100,2
Харківська правозахисна група (ХПГ),Денис Волоха,≤100,5
Олигарх,These ads ran without a disclaimer,≤100,4
Юрий Милобог,These ads ran without a disclaimer,≤100,1
FX-Cartel.com,These ads ran without a disclaimer,≤100,3
Оппозиционный Блок. Николаев,These ads ran without a disclaimer,≤100,4
Верь в себя,These ads ran without a disclaimer,≤100,1
PRO UDRS: Professional Ukrainian Drag Racing Series,These ads ran without a disclaimer,≤100,1
Вишенка на торте,These ads ran without a disclaimer,≤100,5
Украина Выборы 2019,These ads ran without a disclaimer,≤100,3
ЗЕ Команда - Христинівка,These ads ran without a disclaimer,≤100,2
Zvistka - сторінка новин,These ads ran without a disclaimer,≤100,1
Третий Цифровой,These ads ran without a disclaimer,≤100,1
Лапси-Лапси,These ads ran without a disclaimer,≤100,1
Radio Positive,Pavel Petrenko,≤100,1
Українські Новини,These ads ran without a disclaimer,≤100,2
Дом одетых мужчин,These ads ran without a disclaimer,≤100,2
Політична Бериславщина,These ads ran without a disclaimer,≤100,2
ДемАльянс - Одеса,ДемАльянс,≤100,1
Shopping with love,These ads ran without a disclaimer,≤100,1
Поддержи петицию в защиту русского языка,These ads ran without a disclaimer,≤100,6
Toronto-Kyiv,These ads ran without a disclaimer,≤100,1
Команда Зеленського у Івано-Франківську,Надежда Левконович,≤100,8
Китайский Лейтенант,These ads ran without a disclaimer,≤100,6
Медицина Харьковщины,These ads ran without a disclaimer,≤100,4
Днепровский регион,These ads ran without a disclaimer,≤100,7
Дмитрий Танцюра,These ads ran without a disclaimer,≤100,1
Veda,These ads ran without a disclaimer,≤100,44
Народне Антикорупційне Бюро,These ads ran without a disclaimer,≤100,1
Партія "Відродження",These ads ran without a disclaimer,≤100,2
Anywell,These ads ran without a disclaimer,≤100,4
Университет Mindvalley,These ads ran without a disclaimer,≤100,4
Центр політичного аналізу та стратегій "Крук",These ads ran without a disclaimer,≤100,3
Голос - Інфо,These ads ran without a disclaimer,≤100,4
Віталій Скоцик,These ads ran without a disclaimer,≤100,2
Роман Сеник,These ads ran without a disclaimer,≤100,3
Ігор Фріс. Офіційна сторінка,Igor Fris,≤100,3
Команда Зеленського Бердянськ,These ads ran without a disclaimer,≤100,3
Хуёвый Киев,These ads ran without a disclaimer,≤100,3
Покемони Петра Порошенка,These ads ran without a disclaimer,≤100,1
Политическая группа,These ads ran without a disclaimer,≤100,4
Традиція і Порядок,These ads ran without a disclaimer,≤100,1
ДемАльянс Миколаїв,ДемАльянс Миколаїв,≤100,2
Об'єднання "Самопоміч" - Дарницький район.,These ads ran without a disclaimer,≤100,1
Типичный Кривой Рог Типовий Кривий Ріг,These ads ran without a disclaimer,≤100,1
ДаНуНа,Василь Волошин,≤100,2
Громадська організація "Твердиня",Федоренко Олександр,≤100,1
Імпічмент,These ads ran without a disclaimer,≤100,1
Новости Житомира от 20minut.ua,These ads ran without a disclaimer,≤100,1
Олександр Домбровський,Олександр Козяр,≤100,2
Лаян Віннер,These ads ran without a disclaimer,≤100,2
ЖИТОМИР.Life,These ads ran without a disclaimer,≤100,1
МГО "Моноліт 1044",These ads ran without a disclaimer,≤100,1
Незалежний антикорупційний комітет з питань оборони - НАКО - NAKO,Taras Yemchura,≤100,1
Центр Політико-Правових Досліджень,These ads ran without a disclaimer,≤100,1
Павлоград.dp.ua,These ads ran without a disclaimer,≤100,3
Андрей Иванов,Андрiй Iванов,≤100,7
Vse.Media,These ads ran without a disclaimer,≤100,2
Олег Недава,NT,≤100,2
Онлайн-приймальня народного депутата Оксани Білозір,These ads ran without a disclaimer,≤100,3
Євро-Бачення,These ads ran without a disclaimer,≤100,2
Я против,These ads ran without a disclaimer,≤100,4
Yahooo’ею,These ads ran without a disclaimer,≤100,4
"«Ляшко» - радикальна партія, Південно-Київський Регіон",These ads ran without a disclaimer,≤100,4
25% за Петра Порошенка,These ads ran without a disclaimer,≤100,5
Микола Бабенко,Ірина Прохорчук,≤100,1
Перший Клоунський - First Clown,These ads ran without a disclaimer,≤100,3
Ukranews.com,These ads ran without a disclaimer,≤100,2
Новинка,These ads ran without a disclaimer,≤100,36
Дмитро Карп,These ads ran without a disclaimer,≤100,2
Quest Time,These ads ran without a disclaimer,≤100,2
Оппозиционный Блок. Николаев,Катерина Колпакова,≤100,2
Команда Зеленського у Переяслав-Хмельницькому,These ads ran without a disclaimer,≤100,3
Соціальна Справедливість,These ads ran without a disclaimer,≤100,4
anatoliy_kavun,These ads ran without a disclaimer,≤100,1
Taras Troiak,These ads ran without a disclaimer,≤100,1
Команда Зеленського в Обухові,These ads ran without a disclaimer,≤100,3
Вибір - Петро Порошенко 2019,These ads ran without a disclaimer,≤100,4
National Youth Council of Ukraine - NYCUkraine,These ads ran without a disclaimer,≤100,3
Команда Зеленського у Броварах,These ads ran without a disclaimer,≤100,3
Опозиційна Платформа - ЗА ЖИТТЯ м. Київ,These ads ran without a disclaimer,≤100,2
Майбутній Президент України,These ads ran without a disclaimer,≤100,3
Информатор Киев,These ads ran without a disclaimer,≤100,4
Команда Зеленського у Вишгороді,These ads ran without a disclaimer,≤100,3
Willcool,These ads ran without a disclaimer,≤100,14
Конкурент,Лучик Андрій,≤100,6
Владислав Невеселий,These ads ran without a disclaimer,≤100,1
Вірю в Юлю,These ads ran without a disclaimer,≤100,2
Аркадій Корнацький,These ads ran without a disclaimer,≤100,2
Аренда автомобилей в Украине,These ads ran without a disclaimer,≤100,4
Саженцы малины,These ads ran without a disclaimer,≤100,3
НІ,These ads ran without a disclaimer,≤100,6
Головко и Партнеры,These ads ran without a disclaimer,≤100,4
Правий Сектор / Київська область,Кирило Калашник,≤100,6
Олексій Савченко,These ads ran without a disclaimer,≤100,2
Ігор Гузь - офіційна сторінка,Андрій Хведчак,≤100,4
Команда Зеленського у Ірпені,These ads ran without a disclaimer,≤100,3
Продажа техники Apple IElectronics,These ads ran without a disclaimer,≤100,4
East Meet East,These ads ran without a disclaimer,≤100,1
�НОВОСТИ ФУТБОЛА�ПОДПИШИСЬ�,These ads ran without a disclaimer,≤100,2
"Робота в Польщі, Чехії",These ads ran without a disclaimer,≤100,4
ЖИЗНЬ - всеукраинский новостной портал,These ads ran without a disclaimer,≤100,3
"Это Кривой Рог, детка. ЭКРД",These ads ran without a disclaimer,≤100,3
Георгий Селянин,Георгий Селянин,≤100,8
Християнка. Не релігійна,Олеся Чопик,≤100,1
VEM VET,These ads ran without a disclaimer,≤100,4
КиевВласть - Новости Киева,These ads ran without a disclaimer,≤100,1
Артем Гагарин,These ads ran without a disclaimer,≤100,1
Журналіст,These ads ran without a disclaimer,≤100,4
Часы SkyWatch Со Скидкой 53%,These ads ran without a disclaimer,≤100,3
Народный Референдум,These ads ran without a disclaimer,≤100,11
Громадський контроль: Харків,These ads ran without a disclaimer,≤100,8
Торговая недвижимость ALEF Estate,These ads ran without a disclaimer,≤100,4
Александр Скичко Official,These ads ran without a disclaimer,≤100,2
Shipovnik.ua,These ads ran without a disclaimer,≤100,2
PostEat,These ads ran without a disclaimer,≤100,2
Бессарабские вести,These ads ran without a disclaimer,≤100,1
Телеканал Україна,These ads ran without a disclaimer,≤100,8
Animal Matters,Animal Matters,≤100,41
Моя хата скраю,These ads ran without a disclaimer,≤100,2
Winchester_does,These ads ran without a disclaimer,≤100,2
Правий Сектор Миколаїв,Кирило Калашник,≤100,3
StereoUrban,These ads ran without a disclaimer,≤100,2
Команда Зеленського в Обухові,ГО "Команда ЗЕ!",≤100,2
Василь Журавльов,These ads ran without a disclaimer,≤100,8
Благодійний фонд Олександра Ференця "Фортеця",These ads ran without a disclaimer,≤100,2
Батьківщина Кам'янське,These ads ran without a disclaimer,≤100,5
Юрій Костенко,These ads ran without a disclaimer,≤100,7
Radio Positive,These ads ran without a disclaimer,≤100,2
Нова Україна,These ads ran without a disclaimer,≤100,1
Бандерштадт,These ads ran without a disclaimer,≤100,3
Geo Mandarin,These ads ran without a disclaimer,≤100,1
Геннадий Чекита,These ads ran without a disclaimer,≤100,3
Телеграм канал,These ads ran without a disclaimer,≤100,5
Міжнародний фестиваль "Мелодія двох сердець",These ads ran without a disclaimer,≤100,1
eToro,These ads ran without a disclaimer,≤100,12
Полиграф.NET,These ads ran without a disclaimer,≤100,1
Команда Зеленського у Переяслав-Хмельницькому,ГО "Зе!команда",≤100,2
Антистатик,These ads ran without a disclaimer,≤100,2
Громадська приймальня народного депутата України Віталія Івановича Гудзенка,Віталій Іванович Гудзенко,≤100,4
Gulya Pogotova,These ads ran without a disclaimer,≤100,1
МАКСНЕТ,These ads ran without a disclaimer,≤100,1
Фишка Студия Сувениров,These ads ran without a disclaimer,≤100,6
OMG cakes,These ads ran without a disclaimer,≤100,1
Народний Президент України Юрій Тимошенко,These ads ran without a disclaimer,≤100,9
Команда Зеленського у Вишгороді,Зе!команда,≤100,2
Мікрорайон Боднарівка-Автовокзал,These ads ran without a disclaimer,≤100,3
Центр развития beauty-бизнеса,These ads ran without a disclaimer,≤100,4
Команда Зеленського у Броварах,ГО "Зе!команда",≤100,2
Самарь Медиа,These ads ran without a disclaimer,≤100,1
Толстая политика,These ads ran without a disclaimer,≤100,25
ВГО "Сокіл" Голосіїв,ВГО "Сокіл" Київ,≤100,2
Магазин детской одежды «Детки Тут»,These ads ran without a disclaimer,≤100,2
Enlight Pixaloop,These ads ran without a disclaimer,≤100,2
Русский Еврей,These ads ran without a disclaimer,≤100,2
Трудоустройство студентов в Германии Selfinvest,These ads ran without a disclaimer,≤100,1
B.P Shop,These ads ran without a disclaimer,≤100,1
Alexander Sheremet,These ads ran without a disclaimer,≤100,6
Перманентный макияж Киев,These ads ran without a disclaimer,≤100,2
Текстер,These ads ran without a disclaimer,≤100,2
Shopping,These ads ran without a disclaimer,≤100,1
Eurabota.ua - Работа за границей,These ads ran without a disclaimer,≤100,1
Важливо UA,These ads ran without a disclaimer,≤100,2
Магазин iStore,These ads ran without a disclaimer,≤100,2
Команда Зеленського в Тернополі,These ads ran without a disclaimer,≤100,3
Информатор,These ads ran without a disclaimer,≤100,2
Жертва Политеха,These ads ran without a disclaimer,≤100,1
in.Kyiv,These ads ran without a disclaimer,≤100,2
"Агро услуги, аренда техники Сумы, Уборка урожая",These ads ran without a disclaimer,≤100,2
FX Cartel,These ads ran without a disclaimer,≤100,9
49000.com.ua,These ads ran without a disclaimer,≤100,17
Политикан - это моя страна,These ads ran without a disclaimer,≤100,2
Polit.Media,These ads ran without a disclaimer,≤100,2
Ukrainian Institute for the Future,These ads ran without a disclaimer,≤100,12
"Сковорода з диску борони,мангали,коптільні від виробника",These ads ran without a disclaimer,≤100,1
Володимир Гергелюк,Herheliuk Volodymyr,≤100,1
Hobart Earle (Хобаpт Эрл),These ads ran without a disclaimer,≤100,2
Игорь Перепека,These ads ran without a disclaimer,≤100,1
Кристина Галан,These ads ran without a disclaimer,≤100,1
Все про шкільне харчування,These ads ran without a disclaimer,≤100,1
ТОВ "ПіАртс",These ads ran without a disclaimer,≤100,2
Isabelstyle,These ads ran without a disclaimer,≤100,1
Максим Иванищев,These ads ran without a disclaimer,≤100,1
Харківська правозахисна група (ХПГ),These ads ran without a disclaimer,≤100,4
Korrekt,These ads ran without a disclaimer,≤100,1
Eurasia.expert,These ads ran without a disclaimer,≤100,3
ЗЕ Команда - Черкаси та район,These ads ran without a disclaimer,≤100,1
Борітеся-поборете,These ads ran without a disclaimer,≤100,2
VoxUkraine,These ads ran without a disclaimer,≤100,1
Михаил Добкин,These ads ran without a disclaimer,≤100,1
News One,These ads ran without a disclaimer,≤100,1
Міс Ужгород,These ads ran without a disclaimer,≤100,1
Просто Стендап,These ads ran without a disclaimer,≤100,1
Oblvesti.com.ua,These ads ran without a disclaimer,≤100,6
Володимир Гройсман,These ads ran without a disclaimer,≤100,2
comics page,These ads ran without a disclaimer,≤100,1
Олександр Ганущин,These ads ran without a disclaimer,≤100,5
Волонтерський рух "Чесних Більше" Харків,These ads ran without a disclaimer,≤100,5
Я-UA,These ads ran without a disclaimer,≤100,5
ЗЕend,ze_end2019,≤100,18
Ukraine GO,Віталій Шулепов,≤100,2
УКРОП Тернопільщина,УКРОП Тернопільщина,≤100,3
LABA,These ads ran without a disclaimer,≤100,4
ЗЕ Команда - Канів,These ads ran without a disclaimer,≤100,2
Соціальний рух,These ads ran without a disclaimer,≤100,5
Кот Матроскин,These ads ran without a disclaimer,≤100,5
McKinsey & Company,These ads ran without a disclaimer,≤100,2
Оппозиционный Блок. Кривой Рог,These ads ran without a disclaimer,≤100,1
Pobedov Shop,These ads ran without a disclaimer,≤100,1
НЕ Колос,These ads ran without a disclaimer,≤100,11
Tunis Forum on Gender Equality,These ads ran without a disclaimer,≤100,1
Запорожье - город экологического бедствия,These ads ran without a disclaimer,≤100,2
Golden Rose Malva Topface,These ads ran without a disclaimer,≤100,1
Беседы  с Александром Охрименко,These ads ran without a disclaimer,≤100,5
Національний Корпус v.5.2,These ads ran without a disclaimer,≤100,3
От и до,These ads ran without a disclaimer,≤100,2
Vanilla,These ads ran without a disclaimer,≤100,3
Leopolis.news,These ads ran without a disclaimer,≤100,1
Соціалісти. Політична партія,These ads ran without a disclaimer,≤100,6
Вадим Гедульянов,These ads ran without a disclaimer,≤100,5
Громадський Патруль,ГО "Ініціативний рух "Громадський патруль",≤100,1
Команда Зеленського в Луцьку,These ads ran without a disclaimer,≤100,2
Високий Вал / VAL.UA / Новини Чернігова,These ads ran without a disclaimer,≤100,4
Political.ua,These ads ran without a disclaimer,≤100,8
Alter Ego - центр развития бизнеса,These ads ran without a disclaimer,≤100,1
Анатолий Иванкевич,These ads ran without a disclaimer,≤100,1
Uchoose,These ads ran without a disclaimer,≤100,1
PR-фестиваль,These ads ran without a disclaimer,≤100,2
Громадянська позиція - Черкаська область,These ads ran without a disclaimer,≤100,3
Критикан,These ads ran without a disclaimer,≤100,16
Агенти здорового глузду,These ads ran without a disclaimer,≤100,7
NL int BARIN,These ads ran without a disclaimer,≤100,1
Нужные товары,These ads ran without a disclaimer,≤100,3
33 канал,These ads ran without a disclaimer,≤100,1
Ателье драгоценных камней Жуаё,These ads ran without a disclaimer,≤100,1
D-nail.com.ua,These ads ran without a disclaimer,≤100,1
ЗЕ Команда - Кам'янка,These ads ran without a disclaimer,≤100,2
Василь Забродський,These ads ran without a disclaimer,≤100,4
Zp-Inform,These ads ran without a disclaimer,≤100,4
Игорь Дятлов,These ads ran without a disclaimer,≤100,3
Єгор Фірсов,These ads ran without a disclaimer,≤100,2
HP Large Format Media,These ads ran without a disclaimer,≤100,1
Патріоти України,These ads ran without a disclaimer,≤100,3
Українська Галицька Партія Тернопільщина,Ольга Фірман,≤100,1
Громадська організація "Майдан Січеслав-Дніпро",These ads ran without a disclaimer,≤100,14
Gaia,These ads ran without a disclaimer,≤100,4
Persona TOP,These ads ran without a disclaimer,≤100,2
Odessa.online,These ads ran without a disclaimer,≤100,2
Дмитрий Колесников,These ads ran without a disclaimer,≤100,5
Американский дальнобойщик,These ads ran without a disclaimer,≤100,2
ПРАВИЙ СЕКТОР - Харківщина,These ads ran without a disclaimer,≤100,3
Вибір Нововоронцовщини,These ads ran without a disclaimer,≤100,1
Оппозиционный Блок. Кировоград,These ads ran without a disclaimer,≤100,2
Foreign Policy Council "Ukrainian Prism",These ads ran without a disclaimer,≤100,1
Київ online,These ads ran without a disclaimer,≤100,1
УКРОП Львівщина,УКРОП Львівщина,≤100,1
Факты Запорожье,These ads ran without a disclaimer,≤100,1
Українська політична аналітика,These ads ran without a disclaimer,≤100,1
Шостий,Ігор Денисов,≤100,2
Хозін Дмитро. Депутат Дніпровської міської ради,Хозін Дмитро,≤100,1
UFuture,These ads ran without a disclaimer,≤100,1
Антипремия "Zолотой Вантуz",These ads ran without a disclaimer,≤100,3
Texty.org.ua,These ads ran without a disclaimer,≤100,2
Говорить Великий ЛЬВІВ,These ads ran without a disclaimer,≤100,1
Городской Сайт,These ads ran without a disclaimer,≤100,2
Рідний Сихів,These ads ran without a disclaimer,≤100,2
Sss,These ads ran without a disclaimer,≤100,1
GTP Global Transformation Platform,Kateryna Shterenberg,≤100,1
Команда Зеленського у Новій Каховці,These ads ran without a disclaimer,≤100,6
Алексей Белый - официальная страница,These ads ran without a disclaimer,≤100,1
Суспільна Система,These ads ran without a disclaimer,≤100,1
Запорожье - за Бойко,These ads ran without a disclaimer,≤100,2
World Bank,These ads ran without a disclaimer,≤100,35
ЗЕ Команда - Корсунь-Шевченківський,These ads ran without a disclaimer,≤100,2
«Українська організація захисту споживачів послуг»,These ads ran without a disclaimer,≤100,3
Богдан Гиганов,These ads ran without a disclaimer,≤100,1
"Grand Lodge of Ukraine, Велика Ложа України",These ads ran without a disclaimer,≤100,1
Телеканал ATR,These ads ran without a disclaimer,≤100,1
ПРАВИЙ СЕКТОР,Кирило Калашник,≤100,1
Об'єднання "Самопоміч" - Тернопільщина,These ads ran without a disclaimer,≤100,2
Славянские Ведомости,These ads ran without a disclaimer,≤100,1
Волинь Online,Мар'яна Метельська,≤100,4
Надія Савченко,These ads ran without a disclaimer,≤100,1
Царствие Божие внутри вас,These ads ran without a disclaimer,≤100,1
GuidetoIslam.com,These ads ran without a disclaimer,≤100,2
Royal_room_ukraine,These ads ran without a disclaimer,≤100,2
Холодний Яр,Mark Melnyk,≤100,4
Святослав Огренчук,These ads ran without a disclaimer,≤100,1
Володимир,These ads ran without a disclaimer,≤100,2
ФАКТЫ,These ads ran without a disclaimer,≤100,1
Неурядова медійно-адвокаційна група,These ads ran without a disclaimer,≤100,1
Viktor Baranskyi,These ads ran without a disclaimer,≤100,1
Партія Основа - Запоріжжя,These ads ran without a disclaimer,≤100,4
ART_KAZACHENKO,These ads ran without a disclaimer,≤100,1
GRIGOR,These ads ran without a disclaimer,≤100,1
Владимир Костерин,These ads ran without a disclaimer,≤100,2
Павло Різаненко. Офіційна сторінка,Павло Різаненко,≤100,1
WebGazeta,These ads ran without a disclaimer,≤100,2
Киев сейчас,These ads ran without a disclaimer,≤100,3
Ірина Констанкевич  - офіційна сторінка,These ads ran without a disclaimer,≤100,4
НикВести,These ads ran without a disclaimer,≤100,1
Київщина Новини,These ads ran without a disclaimer,≤100,5
Владислав Соболевський,These ads ran without a disclaimer,≤100,1
Будьмо,These ads ran without a disclaimer,≤100,2
Радіо Аристократи,These ads ran without a disclaimer,≤100,2
Борис Колесников / Borys Kolesnikov,These ads ran without a disclaimer,≤100,1
Олег Недава,These ads ran without a disclaimer,≤100,1
Творческая мастерская "Мирамель",These ads ran without a disclaimer,≤100,1
Команда Зеленського у Рівному,These ads ran without a disclaimer,≤100,4
Внутрішній Корпус Батальйону Донбас,These ads ran without a disclaimer,≤100,2
Олександр Рибаков,These ads ran without a disclaimer,≤100,1
Днепр Вечерний,These ads ran without a disclaimer,≤100,1
Time of Ukraine / Час України,These ads ran without a disclaimer,≤100,2
КСК "Конный остров",These ads ran without a disclaimer,≤100,1
Івано-Франківська Свобода,These ads ran without a disclaimer,≤100,10
Nikolaev.POST,These ads ran without a disclaimer,≤100,4
Народний Рух України Львівщина,These ads ran without a disclaimer,≤100,2
SAN MOIS одежда(Бренд),These ads ran without a disclaimer,≤100,2
ForumDaily,These ads ran without a disclaimer,≤100,3
Институт религиозной свободы,These ads ran without a disclaimer,≤100,1
Полезное для тебя,These ads ran without a disclaimer,≤100,1
Детектор медіа,These ads ran without a disclaimer,≤100,12
Батальон спеціального призначення НГУ "Донбас",These ads ran without a disclaimer,≤100,2
Де?мократія,These ads ran without a disclaimer,≤100,4
Правда за Одессу,These ads ran without a disclaimer,≤100,4
Крым Реалии,These ads ran without a disclaimer,≤100,2
Магазин адекватності,These ads ran without a disclaimer,≤100,6
Наше Місто,These ads ran without a disclaimer,≤100,10
BBC,These ads ran without a disclaimer,≤100,3
Новости Чернигова,These ads ran without a disclaimer,≤100,1
Instagram,These ads ran without a disclaimer,≤100,15
Snapthatback.com,These ads ran without a disclaimer,≤100,2
The Reklama,These ads ran without a disclaimer,≤100,2
Мой Днепр,These ads ran without a disclaimer,≤100,1
Фото/Видеосьемка �,These ads ran without a disclaimer,≤100,1
BookChef,These ads ran without a disclaimer,≤100,2
anna_siv,These ads ran without a disclaimer,≤100,6
Невідомий Патріот,These ads ran without a disclaimer,≤100,3
ДаНуНа,These ads ran without a disclaimer,≤100,2
Kyiv.Press,These ads ran without a disclaimer,≤100,2
Анатолий Урбанский,These ads ran without a disclaimer,≤100,2
Find Yourself,These ads ran without a disclaimer,≤100,2
Українська Агенція з Авторських та Суміжних Прав,These ads ran without a disclaimer,≤100,1
ЗЕ Команда - Сміла,These ads ran without a disclaimer,≤100,2
ЗЕ Команда - Лисянка,These ads ran without a disclaimer,≤100,2
oduvanchik.poltava,These ads ran without a disclaimer,≤100,3
Korniiets,These ads ran without a disclaimer,≤100,1
Serhii Komnatnyi,These ads ran without a disclaimer,≤100,1
Pepsi Ukraine,These ads ran without a disclaimer,≤100,1
Game Of Ukraine,These ads ran without a disclaimer,≤100,3
Новости овощебазы,These ads ran without a disclaimer,≤100,2
Національний Корпус - Черкащина,These ads ran without a disclaimer,≤100,4
Політична Партія "Основа" - Київщина,These ads ran without a disclaimer,≤100,1
Lyosha Rubchinskiy,These ads ran without a disclaimer,≤100,1
Солнечные электростанции Харьков Leader NRG Ukraine,These ads ran without a disclaimer,≤100,1
Юрій Бублик,These ads ran without a disclaimer,≤100,1
Старі Політики,These ads ran without a disclaimer,≤100,1
Daniel_Ykm,These ads ran without a disclaimer,≤100,1
Дзеркало медіа,These ads ran without a disclaimer,≤100,13
Media Sotnya,These ads ran without a disclaimer,≤100,2
Фонд сприяння розвитку міста Києва імені Володимира Поляченка,Михайло Тарасенко,≤100,1
Петро Бампер - Україна,These ads ran without a disclaimer,≤100,1
Александр Стрельченко,These ads ran without a disclaimer,≤100,4
Міністерство у справах ветеранів,These ads ran without a disclaimer,≤100,3
ЗЕ Команда - Чорнобай,These ads ran without a disclaimer,≤100,2
Журнал "Бізнес",These ads ran without a disclaimer,≤100,2
ЗЕ Команда - Маньківка,These ads ran without a disclaimer,≤100,3
UkraineWorld,These ads ran without a disclaimer,≤100,1
Хоменко Андрей,These ads ran without a disclaimer,≤100,1
Правий Сектор Черкащина - Офіційна,These ads ran without a disclaimer,≤100,2
Полиграф.NET,These ads ran without a disclaimer,≤100,4
Святослав Шевцов,These ads ran without a disclaimer,≤100,4
Павло Жебрівський,These ads ran without a disclaimer,≤100,3
Львівська обласна організація ВО "Свобода",These ads ran without a disclaimer,≤100,5
Верим Новинскому,These ads ran without a disclaimer,≤100,1
TOKA,These ads ran without a disclaimer,≤100,1
Carmart,These ads ran without a disclaimer,≤100,1
Проект «Артерія»,These ads ran without a disclaimer,≤100,1
Академія політичних наук,These ads ran without a disclaimer,≤100,4
ЗЕ Команда - Тальне,These ads ran without a disclaimer,≤100,2
Солідарність у Київраді,These ads ran without a disclaimer,≤100,9
MARGO гипермаркет мебели,These ads ran without a disclaimer,≤100,2
Авто из США,These ads ran without a disclaimer,≤100,1
Голосует Новая Каховка,These ads ran without a disclaimer,≤100,2
Remix News & Views,These ads ran without a disclaimer,≤100,3
Днепр Час - новости,These ads ran without a disclaimer,≤100,1
Молодь України,These ads ran without a disclaimer,≤100,1
Славетна Україна,These ads ran without a disclaimer,≤100,8
Я Маю Право Голосу,These ads ran without a disclaimer,≤100,5
А що тут думати?,These ads ran without a disclaimer,≤100,2
Петро Нестерук,These ads ran without a disclaimer,≤100,1
Trueshop1,These ads ran without a disclaimer,≤100,1
Коломийська міськрайонна орг Радикальної Партії Ляшка в Ів-Франк обл,These ads ran without a disclaimer,≤100,3
Vector,These ads ran without a disclaimer,≤100,1
Громадська організація "Майдан Січеслав-Дніпро",Майдан Січеслав-Дніпро,≤100,2
Пурпурный кот,Денис Самохін,≤100,1
Зелений Фонд,Nazar Beketov,≤100,2
Трансформация жизни с Шилан Евгенией,These ads ran without a disclaimer,≤100,1
Батьківщина Чернігівщина,These ads ran without a disclaimer,≤100,4
Veжa,These ads ran without a disclaimer,≤100,4
Printoff,These ads ran without a disclaimer,≤100,1
Наступний президент,These ads ran without a disclaimer,≤100,3
Костянтин Бондарєв,These ads ran without a disclaimer,≤100,1
ВиборуНема,These ads ran without a disclaimer,≤100,1
Олег Петровець - публічна сторінка,These ads ran without a disclaimer,≤100,5
Косметика alisse.beauty,These ads ran without a disclaimer,≤100,1
Dubinsky.pro,These ads ran without a disclaimer,≤100,2
Poet Nata,These ads ran without a disclaimer,≤100,1
"MamaCity Украина - одежда для беременных и кормящих мам, слинги, переноски",These ads ran without a disclaimer,≤100,2
Кредит под 0% не выходя из дома,These ads ran without a disclaimer,≤100,1
Петро Incognito,These ads ran without a disclaimer,≤100,4
Он,These ads ran without a disclaimer,≤100,4
ЗЕ Команда - Золотоноша,These ads ran without a disclaimer,≤100,1
Мемчики та Смішні Картинки Українською,These ads ran without a disclaimer,≤100,2
ПРАВО НА ВЛАДУ,These ads ran without a disclaimer,≤100,3
RuBaltic.Ru,These ads ran without a disclaimer,≤100,1
Не Обостряй,These ads ran without a disclaimer,≤100,2
Anastasia Shevchenko webstore,These ads ran without a disclaimer,≤100,2
Інститут законодавчих ідей,These ads ran without a disclaimer,≤100,6
Новини Тараща Сквира Тетіїв,These ads ran without a disclaimer,≤100,1
Об'єднання "Самопоміч" - Івано-Франківськ,Івано-Франківська міська організація політичної партії "Об'єднання Самопоміч",≤100,1
VERY WOOD,These ads ran without a disclaimer,≤100,2
Иван Исаков,These ads ran without a disclaimer,≤100,1
Лашин Игорь,These ads ran without a disclaimer,≤100,2
Richmond - Restaurant & Lounge Bar,These ads ran without a disclaimer,≤100,1
Uncensored,These ads ran without a disclaimer,≤100,1
Олександр Омельченко,These ads ran without a disclaimer,≤100,1
Astrolife HD,These ads ran without a disclaimer,≤100,1
Слуга Кременчуга,These ads ran without a disclaimer,≤100,5
"Это Днепр, детка",These ads ran without a disclaimer,≤100,1
