Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Telegram,Андрій Дзядикевич,712,9
Знай,These ads ran without a disclaimer,694,3
Твій Президент 2019,These ads ran without a disclaimer,675,2
Бенин Клоун,These ads ran without a disclaimer,657,6
Володимир Назаренко - депутат Київради,ВГО "Сокіл" Київ,652,17
Юлю у президенти,These ads ran without a disclaimer,646,5
Hoвини,These ads ran without a disclaimer,639,4
Говорить ЛЬВІВ,Наталія Шотік,637,10
Всеукраїнська Аграрна Рада,Всеукраїнська Аграрна Рада,598,5
Єдність,emoment,590,3
Центр Протидії Корупції,Центр Протидії Корупції,571,18
ВГО "Сокіл" Київ,ВГО "Сокіл" Київ,555,18
Реальний Грищ,These ads ran without a disclaimer,552,10
Я = Мангер,These ads ran without a disclaimer,547,4
Команда Зеленського у Чернігові,These ads ran without a disclaimer,546,18
Obozrevatel,УкрОбоз,541,4
Вільні Люди Тернопіль - Самооборона Майдану,Іван Кішка,536,12
ВО "Свобода" Київ,ВО "Свобода" Київ,535,27
Громадська ініціатива "Захисти Україну",Іван Кішка,530,10
Жінки ВОЛІ - Я МОЖУ,These ads ran without a disclaimer,529,1
Воєнний кабінет Юлії Тимошенко,These ads ran without a disclaimer,519,34
Перевірки STOP,These ads ran without a disclaimer,513,1
Ігор Шевченко,These ads ran without a disclaimer,512,5
Perepichka News,Perepichka,510,34
Віталій Скоцик,Віталій Скоцик,510,4
"Робота в Польщі, Чехії",Андрій Марисюк,509,3
Олег Недава,nt,507,57
Команда Зеленського у Черкасах,Команда Зеленського у Черкасах,506,15
Політика по-українськи,Marktiyan Matviykiv,506,16
Валентин Резніченко,These ads ran without a disclaimer,500,6
112.ua,112.ua,488,11
Вилкул - президент Украины,These ads ran without a disclaimer,480,3
Команда Зеленського у Харковi,These ads ran without a disclaimer,476,13
Віктор Бондар - Виктор Бондарь - Viktor Bondar,These ads ran without a disclaimer,468,17
Команда Зеленського в Дніпрі,These ads ran without a disclaimer,457,20
Zabeba.li,ООО Шторм Диджитал,457,6
Ренат Кузьмин,Ренат Кузьмiн,450,13
Олександр Вілкул,Олександр Вілкул,449,5
Оппозиционный Блок. Кировоград,Виборчий фонд кандидата на пост Президента України Бойка Юрія Анатолійовича,438,13
Майонезна баночка,These ads ran without a disclaimer,435,11
Команда Зеленського у Івано-Франківську,These ads ran without a disclaimer,421,7
Олександр Ващенко,Александр Ващенко,421,20
"Это Кривой Рог, детка. ЭКРД",Олександр Iгнатенко,415,9
Олександр Третьяков,These ads ran without a disclaimer,410,9
Карусель 2019,Crossroad SMM,405,10
ТСH,These ads ran without a disclaimer,404,20
Українська політика,These ads ran without a disclaimer,403,16
Mens_Sports_Shop,These ads ran without a disclaimer,403,12
Громадська приймальня народного депутата України Віталія Івановича Гудзенка,Максим Мельниченко,403,27
Андрій Садовий,Андрій Садовий,400,2
Viktor Chumak/Віктор Чумак,Чумак Андрій,400,1
Володимир Доманський - публічна сторінка,Доманський Володимир,400,17
Народний Рух України,З виборчого фонду кандидата на пост Президента України Кривенко В.М.,397,10
Команда Зеленського у Запоріжжі,Команда Зеленського у Запоріжжі,390,10
Картель 25,These ads ran without a disclaimer,387,1
Микола Томенко,These ads ran without a disclaimer,381,23
Об'єднання "Самопоміч",Об'єднання "Самопоміч",378,2
Isaac Pintosevich Systems,These ads ran without a disclaimer,372,6
ЗЕ Команда - Черкаси та район,ЗЕ Команда - Черкаська область,370,6
Бизнес Финансы,These ads ran without a disclaimer,369,8
Владимир Величко,Володимир Величко,359,22
Igor Soloviov,Igor Soloviov,357,5
Информатор,ООО Шторм Диджитал,354,11
Олексій Мушак,Dmytro Fedorenko,345,11
Об'єднання "Самопоміч" - Одеса,Об'єднання Самопоміч - Одеса,340,8
Украина сейчас,These ads ran without a disclaimer,339,6
FinStamp,Максим Василєвський,335,31
Uaprom,Uaprom,331,28
Зрада/Перемога,These ads ran without a disclaimer,330,8
Печерська "Свобода" м. Київ,ВО "Свобода" Київ,317,32
CUBE - клубы виртуальной реальности. HTC Vive,Шурдуков Артур,312,1
Leonid Chernovetskyi,These ads ran without a disclaimer,308,2
Текстер,Артем Лисак,308,9
Солідарність жінок України,These ads ran without a disclaimer,299,1
Вадим Новинский,These ads ran without a disclaimer,297,4
Команда Зеленського на Донеччині,These ads ran without a disclaimer,293,31
Begemot,Begemot,292,20
За Порошенко,Oleksandr Liebiediev,287,19
Канал в Telegram,Dmytro Polyanychko,284,10
Команда Зеленського у Хмельницькому,Команда Зеленського у Хмельницькому,284,5
Олег Кулініч,Олег Кулініч,283,1
Богдан Матківський,Володимир Остапенко,278,32
Харьков. Комментарии,Харьков. Комментарии,275,28
Алексей Гончаренко,Алексей Гончаренко,272,12
Новини.Україна,These ads ran without a disclaimer,272,1
"ПАП - Порошенко, Аваков, Пашинський",sladosti.com.ua,267,7
Новини України та світу,These ads ran without a disclaimer,266,6
Народний Рух України,These ads ran without a disclaimer,261,11
Телеграм канал,These ads ran without a disclaimer,257,15
Sergii Nosenko,These ads ran without a disclaimer,250,5
Політична партія "Всеукраїнське об'єднання "Факел",Олександр Крамар,247,6
Типичный Кривой Рог Типовий Кривий Ріг,Олександр Iгнатенко,243,4
Валентин Наливайченко,Виборчий фонд кандидата в президенти Валентина Наливайченка,242,17
ФОКУС,ФОКУС,239,13
Годный.COM,TRIBUNE Communications,234,10
Твой Депутат,Твой Депутат,233,7
Мюсли Кличка,These ads ran without a disclaimer,229,5
Олигарх,Олигарх,223,2
Amber Law Company,Amber Law Company,218,26
Батьківщина Молода,These ads ran without a disclaimer,217,9
Сергей Ларин,Serghii Larin,216,11
Команда Зеленського в Ужгороді,These ads ran without a disclaimer,215,7
IMEE-analytics,These ads ran without a disclaimer,211,2
Страсти,These ads ran without a disclaimer,208,17
Резонансные новости Украины,These ads ran without a disclaimer,207,4
ПРАВО НА ВЛАДУ,1+1 media,205,27
Слово і Діло,These ads ran without a disclaimer,203,15
Volodymyr Groysman,These ads ran without a disclaimer,203,7
